ID,Upvotes
7.0,102.0
9.0,21.0
12.0,67.0
13.0,104.0
16.0,35.0
17.0,106.0
22.0,7.0
25.0,46.0
26.0,20.0
27.0,72.0
33.0,42.0
43.0,20.0
47.0,6.0
48.0,35.0
52.0,18.0
56.0,3.0
57.0,106.0
59.0,73.0
60.0,13.0
61.0,11.0
62.0,8.0
63.0,106.0
64.0,28.0
65.0,22.0
68.0,96.0
70.0,11.0
75.0,103.0
76.0,107.0
79.0,22.0
84.0,6.0
90.0,22.0
94.0,12.0
106.0,7.0
112.0,32.0
113.0,30.0
116.0,105.0
117.0,9.0
118.0,106.0
120.0,63.0
122.0,20.0
126.0,84.0
141.0,107.0
144.0,67.0
147.0,5.0
162.0,17.0
163.0,6.0
164.0,15.0
166.0,34.0
170.0,9.0
171.0,11.0
176.0,51.0
180.0,46.0
187.0,94.0
190.0,56.0
191.0,15.0
199.0,26.0
201.0,14.0
204.0,9.0
209.0,27.0
212.0,11.0
214.0,107.0
218.0,41.0
221.0,7.0
222.0,22.0
226.0,45.0
227.0,11.0
231.0,7.0
232.0,95.0
235.0,36.0
236.0,62.0
239.0,9.0
241.0,11.0
248.0,15.0
251.0,106.0
253.0,82.0
255.0,88.0
256.0,15.0
280.0,7.0
285.0,55.0
289.0,91.0
292.0,93.0
294.0,100.0
295.0,31.0
298.0,39.0
303.0,13.0
310.0,17.0
311.0,28.0
313.0,94.0
314.0,93.0
316.0,47.0
317.0,31.0
324.0,5.0
327.0,40.0
328.0,12.0
335.0,27.0
345.0,37.0
349.0,11.0
350.0,19.0
355.0,54.0
356.0,52.0
359.0,63.0
364.0,12.0
372.0,66.0
385.0,103.0
390.0,2.0
391.0,74.0
395.0,7.0
397.0,7.0
398.0,20.0
401.0,69.0
402.0,8.0
405.0,24.0
409.0,87.0
413.0,17.0
415.0,21.0
418.0,72.0
422.0,20.0
424.0,4.0
425.0,106.0
426.0,106.0
429.0,57.0
430.0,14.0
444.0,94.0
445.0,3.0
451.0,17.0
453.0,13.0
456.0,47.0
457.0,6.0
459.0,58.0
461.0,107.0
470.0,7.0
478.0,1.0
480.0,24.0
481.0,5.0
487.0,22.0
488.0,7.0
490.0,9.0
491.0,37.0
493.0,22.0
496.0,17.0
498.0,35.0
501.0,105.0
505.0,33.0
508.0,6.0
509.0,2.0
516.0,56.0
521.0,55.0
522.0,107.0
525.0,97.0
528.0,37.0
535.0,27.0
538.0,18.0
543.0,23.0
548.0,24.0
554.0,108.0
555.0,19.0
556.0,5.0
557.0,105.0
561.0,41.0
567.0,8.0
570.0,8.0
572.0,15.0
573.0,22.0
576.0,10.0
580.0,13.0
581.0,68.0
586.0,82.0
588.0,107.0
589.0,17.0
591.0,6.0
593.0,38.0
594.0,91.0
597.0,28.0
601.0,23.0
607.0,57.0
609.0,17.0
610.0,14.0
613.0,39.0
616.0,11.0
618.0,41.0
619.0,17.0
620.0,12.0
626.0,11.0
631.0,5.0
633.0,76.0
634.0,33.0
641.0,9.0
643.0,20.0
644.0,73.0
645.0,16.0
646.0,30.0
647.0,99.0
648.0,93.0
652.0,7.0
654.0,10.0
656.0,23.0
657.0,15.0
658.0,97.0
667.0,65.0
669.0,13.0
670.0,17.0
671.0,27.0
674.0,14.0
677.0,92.0
683.0,8.0
690.0,100.0
691.0,10.0
693.0,44.0
694.0,66.0
705.0,25.0
708.0,97.0
712.0,15.0
713.0,93.0
715.0,12.0
718.0,101.0
725.0,25.0
728.0,92.0
729.0,101.0
730.0,6.0
732.0,13.0
734.0,16.0
736.0,4.0
741.0,13.0
742.0,60.0
750.0,55.0
753.0,12.0
756.0,19.0
757.0,4.0
760.0,31.0
762.0,72.0
763.0,103.0
765.0,14.0
767.0,14.0
778.0,82.0
779.0,19.0
782.0,4.0
786.0,20.0
788.0,4.0
790.0,10.0
793.0,24.0
794.0,13.0
795.0,94.0
804.0,60.0
810.0,17.0
811.0,107.0
812.0,19.0
815.0,43.0
816.0,16.0
818.0,92.0
821.0,16.0
823.0,12.0
827.0,40.0
831.0,34.0
833.0,9.0
837.0,57.0
839.0,8.0
840.0,9.0
842.0,26.0
843.0,28.0
844.0,16.0
847.0,12.0
848.0,27.0
850.0,59.0
855.0,35.0
856.0,38.0
857.0,35.0
858.0,81.0
863.0,7.0
865.0,40.0
866.0,11.0
869.0,9.0
873.0,28.0
877.0,10.0
880.0,48.0
881.0,24.0
883.0,107.0
884.0,35.0
892.0,18.0
894.0,9.0
898.0,33.0
903.0,22.0
905.0,28.0
906.0,2.0
912.0,16.0
915.0,47.0
917.0,107.0
923.0,26.0
928.0,40.0
938.0,25.0
939.0,99.0
941.0,18.0
944.0,62.0
945.0,11.0
946.0,31.0
948.0,99.0
952.0,31.0
954.0,16.0
963.0,11.0
968.0,16.0
969.0,12.0
974.0,107.0
976.0,37.0
979.0,54.0
981.0,18.0
982.0,7.0
984.0,82.0
993.0,5.0
997.0,8.0
1004.0,25.0
1006.0,99.0
1011.0,100.0
1012.0,14.0
1013.0,11.0
1016.0,106.0
1019.0,6.0
1020.0,58.0
1026.0,3.0
1031.0,4.0
1042.0,23.0
1049.0,44.0
1055.0,14.0
1057.0,12.0
1060.0,4.0
1061.0,7.0
1062.0,9.0
1063.0,106.0
1064.0,96.0
1069.0,103.0
1071.0,35.0
1076.0,104.0
1078.0,34.0
1081.0,62.0
1084.0,13.0
1090.0,11.0
1093.0,49.0
1103.0,70.0
1108.0,30.0
1109.0,6.0
1110.0,76.0
1115.0,9.0
1120.0,105.0
1122.0,14.0
1126.0,104.0
1128.0,6.0
1132.0,49.0
1135.0,35.0
1140.0,3.0
1150.0,30.0
1156.0,7.0
1158.0,27.0
1182.0,19.0
1186.0,12.0
1196.0,10.0
1206.0,13.0
1209.0,28.0
1213.0,25.0
1214.0,95.0
1216.0,19.0
1217.0,26.0
1218.0,4.0
1221.0,19.0
1223.0,91.0
1224.0,85.0
1230.0,104.0
1236.0,21.0
1238.0,10.0
1241.0,83.0
1243.0,107.0
1247.0,42.0
1248.0,36.0
1251.0,102.0
1253.0,12.0
1254.0,31.0
1256.0,10.0
1257.0,25.0
1266.0,84.0
1271.0,21.0
1273.0,107.0
1280.0,102.0
1282.0,31.0
1298.0,10.0
1299.0,11.0
1300.0,89.0
1305.0,16.0
1312.0,45.0
1317.0,83.0
1322.0,8.0
1324.0,14.0
1325.0,40.0
1326.0,13.0
1329.0,14.0
1330.0,11.0
1333.0,103.0
1335.0,8.0
1341.0,11.0
1346.0,10.0
1356.0,99.0
1357.0,10.0
1358.0,98.0
1359.0,30.0
1361.0,8.0
1362.0,7.0
1371.0,58.0
1373.0,13.0
1374.0,57.0
1380.0,98.0
1385.0,16.0
1387.0,106.0
1388.0,77.0
1389.0,66.0
1392.0,29.0
1395.0,17.0
1396.0,33.0
1397.0,9.0
1398.0,77.0
1399.0,10.0
1400.0,12.0
1401.0,103.0
1403.0,65.0
1404.0,20.0
1412.0,2.0
1415.0,23.0
1420.0,95.0
1422.0,12.0
1423.0,6.0
1424.0,74.0
1425.0,7.0
1436.0,12.0
1437.0,6.0
1441.0,40.0
1442.0,18.0
1448.0,108.0
1454.0,49.0
1455.0,85.0
1456.0,107.0
1458.0,75.0
1461.0,16.0
1463.0,13.0
1464.0,107.0
1469.0,16.0
1483.0,56.0
1485.0,107.0
1487.0,13.0
1489.0,8.0
1492.0,9.0
1496.0,22.0
1500.0,3.0
1501.0,96.0
1503.0,106.0
1506.0,14.0
1507.0,10.0
1509.0,65.0
1510.0,35.0
1512.0,6.0
1515.0,67.0
1518.0,12.0
1520.0,12.0
1521.0,107.0
1527.0,19.0
1530.0,4.0
1532.0,58.0
1534.0,11.0
1535.0,21.0
1538.0,19.0
1541.0,14.0
1547.0,89.0
1559.0,32.0
1562.0,78.0
1563.0,20.0
1565.0,14.0
1566.0,106.0
1569.0,106.0
1572.0,76.0
1573.0,27.0
1575.0,20.0
1576.0,17.0
1579.0,25.0
1580.0,14.0
1581.0,106.0
1582.0,71.0
1589.0,107.0
1590.0,11.0
1600.0,17.0
1601.0,105.0
1606.0,3.0
1610.0,27.0
1611.0,56.0
1621.0,78.0
1622.0,4.0
1623.0,45.0
1646.0,106.0
1647.0,99.0
1649.0,43.0
1652.0,6.0
1655.0,101.0
1666.0,32.0
1667.0,11.0
1668.0,23.0
1671.0,43.0
1672.0,18.0
1673.0,0.0
1677.0,16.0
1679.0,101.0
1680.0,30.0
1686.0,18.0
1701.0,11.0
1710.0,85.0
1716.0,49.0
1717.0,74.0
1722.0,59.0
1723.0,53.0
1727.0,14.0
1731.0,106.0
1735.0,12.0
1736.0,17.0
1740.0,8.0
1744.0,72.0
1747.0,31.0
1748.0,9.0
1756.0,51.0
1757.0,41.0
1760.0,27.0
1761.0,13.0
1766.0,97.0
1770.0,47.0
1773.0,12.0
1774.0,13.0
1777.0,72.0
1781.0,14.0
1782.0,10.0
1791.0,8.0
1801.0,95.0
1804.0,3.0
1805.0,39.0
1807.0,98.0
1815.0,28.0
1820.0,42.0
1825.0,22.0
1827.0,9.0
1831.0,107.0
1832.0,14.0
1834.0,106.0
1835.0,71.0
1836.0,44.0
1841.0,14.0
1849.0,76.0
1851.0,99.0
1859.0,61.0
1861.0,35.0
1866.0,83.0
1869.0,13.0
1873.0,105.0
1875.0,17.0
1877.0,8.0
1879.0,1.0
1885.0,24.0
1886.0,11.0
1889.0,24.0
1892.0,12.0
1900.0,47.0
1901.0,25.0
1903.0,48.0
1904.0,105.0
